lesson;id;category;fr_word;fr_genus;fr_needs_vowel_article;fr_sentence;de_word;de_genus;de_sentence
1;1;verbe;s'inscrire;;;Je vais m'inscrire à un cours de français.;sich anmelden;;Ich melde mich zu einem Französischkurs an.
1;2;nom;manifestation;f.;false;Il y avait une manifestation dans la rue principale.;Demonstration;f.;In der Hauptstraße gab es eine Demonstration.
1;3;verbe;désinfecter qc.;;;Il faut désinfecter la plaie.;etw. desinfizieren;;Man muss die Wunde desinfizieren.
1;4;nom;frigidaire;m.;false;Le frigidaire est plein de légumes.;Kühlschrank;m.;Der Kühlschrank ist voller Gemüse.
1;5;nom;camping;m.;false;Nous faisons du camping près du lac.;Campen;n.;Wir machen Camping am See.
1;6;nom;sac de couchage;m.;false;J’ai oublié mon sac de couchage.;Schlafsack;m.;Ich habe meinen Schlafsack vergessen.
1;7;adjectif;viticole;;;C’est une région viticole.;weinbau-;;Das ist eine Weinbauregion.
1;8;verbe;faire des randonnées;;;Nous aimons faire des randonnées en montagne.;wandern;;Wir gehen gern in den Bergen wandern.
1;9;verbe;randonner;;;On peut randonner dans le parc naturel.;wandern;;Man kann im Naturpark wandern.
1;10;nom;dénivelé;m.;false;Au cours de leur randonnée, ils ont parcouru un bon nombre de mètres de dénivelé.;Höhenunterschied;m.;Während ihrer Wanderung haben sie ordentlich Höhenmeter gemacht.
1;11;nom;chapelle;f.;false;Nous avons visité une petite chapelle.;Kapelle;f.;Wir haben eine kleine Kapelle besichtigt.
1;12;expression;en Bavière;;;J’habite en Bavière.;in Bayern;;Ich wohne in Bayern.
1;13;nom;station thermale;f.;false;Cette ville est une station thermale célèbre.;Kurort;m.;Diese Stadt ist ein bekannter Kurort.
1;14;verbe;aller en cure;;;Ma grand-mère est allée en cure.;zur Kur fahren;;Meine Oma ist zur Kur gefahren.
1;15;adjectif;crevant;;;Le voyage était crevant.;erschöpfend;;Die Reise war anstrengend/erschöpfend.
1;16;adjectif;fatiguant;;;C’est un travail très fatiguant.;ermüdend;;Das ist eine sehr ermüdende Arbeit.
1;17;adjectif;dur;;;L’examen était très dur.;schwer, hart;;Die Prüfung war sehr schwer.
1;18;nom;rôle;m.;false;Il a joué un rôle important.;Rolle;f.;Er hat eine wichtige Rolle gespielt.
1;19;adjectif;dégoûtant;;;Ce repas est dégoûtant.;ekelhaft;;Dieses Essen ist ekelhaft.
1;20;nom;colline;f.;false;La maison est sur une colline.;Hügel;m.;Das Haus liegt auf einem Hügel.
1;21;nom;sacoche;f.;false;Il porte une sacoche en cuir.;Umhängetasche;f.;Er trägt eine Ledertasche.
1;22;nom;bagages;m. pl.;false;J’ai perdu mes bagages à l’aéroport.;Gepäck;n.;Ich habe mein Gepäck am Flughafen verloren.
1;23;verbe;pousser (un vélo);;;Il a dû pousser son vélo en montée.;(ein Fahrrad) schieben;;Er musste sein Rad bergauf schieben.
1;24;verbe;rouler;;;La voiture roule vite.;fahren;;Das Auto fährt schnell.
1;25;nom;frein;m.;false;Le frein de mon vélo ne marche pas.;Bremse;f.;Meine Fahrradbremse funktioniert nicht.
1;26;nom;casque;m.;false;Il faut porter un casque à vélo.;Helm;m.;Beim Radfahren muss man einen Helm tragen.
1;27;nom;casquette;f.;false;Il porte une casquette bleue.;Kappe;f.;Er trägt eine blaue Kappe.
1;28;adjectif;lourd;;;Ce sac est très lourd.;schwer;;Diese Tasche ist sehr schwer.
1;29;adjectif;léger;;;Ce tissu est très léger.;leicht;;Dieser Stoff ist sehr leicht.
1;30;nom;borne;f.;false;Nous avons trouvé une borne kilométrique.;Kilometerstein;m.;Wir haben einen Kilometerstein gefunden.
1;31;nom;aménagement;m.;true;Les aménagements du parc sont modernes.;Anlage;f.;Die Anlagen des Parks sind modern.
1;32;nom;estuaire;m.;true;L’estuaire de la Loire est magnifique.;Mündung;f.;Die Mündung der Loire ist wunderschön.
1;33;expression;en Grèce;;;Je vais en Grèce cet été.;in Griechenland;;Ich fahre diesen Sommer nach Griechenland.
1;34;adjectif;grec/grecque;;;Elle est grecque.;griechisch;;Sie ist Griechin.
1;35;nom;mer Baltique;f.;false;Nous passons nos vacances à la mer Baltique.;Ostsee;f.;Wir machen Urlaub an der Ostsee.
1;36;expression;être en rénovation;;;Le musée est en rénovation.;renoviert werden;;Das Museum wird gerade renoviert.
1;37;nom;marzipan;f.;false;La pâte de marzipan est sucrée.;Marzipan;n.;Marzipan ist süß.
1;38;nom;camping-car;m.;false;Ils voyagent en camping-car.;Wohnmobil;n.;Sie reisen mit dem Wohnmobil.
1;39;adjectif;surpeuplé;;;La plage était surpeuplée.;überfüllt;;Der Strand war überfüllt.
1;40;expression;sur la côte;;;Nous avons une maison sur la côte.;an der Küste;;Wir haben ein Haus an der Küste.
1;41;expression;aller en avion;;;Nous allons en avion à Paris.;mit dem Flugzeug fliegen;;Wir fliegen nach Paris.
1;42;expression;dans le centre;;;L’hôtel est dans le centre-ville.;im Zentrum;;Das Hotel ist im Stadtzentrum.
1;43;nom;enquêteur;m.;true;L’enquêteur cherche des indices.;Ermittler;m.;Der Ermittler sucht nach Hinweisen.
1;44;nom;désert;m.;false;Le Sahara est un grand désert.;Wüste;f.;Die Sahara ist eine große Wüste.
1;45;nom;vol;m.;false;Le vol de l’avion a été retardé.;Flug;m.;Der Flug wurde verspätet.
1;46;nom;exposition;f.;true;Il y a une exposition de peinture au musée.;Ausstellung;f.;Es gibt eine Kunstausstellung im Museum.
1;47;nom;tableau;m.;false;Ce tableau est de Picasso.;Gemälde;n.;Dieses Gemälde ist von Picasso.
1;48;adjectif;scandinave;;;J’aime le design scandinave.;skandinavisch;;Ich mag skandinavisches Design.
1;49;nom;parquet;m.;false;Le parquet est en chêne.;Parkett;n.;Das Parkett ist aus Eiche.
1;50;nom;stratifié;m.;false;Le sol est en stratifié.;Laminat;n.;Der Boden ist aus Laminat.
1;51;nom;chêne;m.;false;Cette table est en chêne.;Eiche;f.;Der Tisch ist aus Eiche.
1;52;nom;aulne;m.;true;L’aulne pousse près des rivières.;Erle;f.;Erlen wachsen oft an Flüssen.
1;53;nom;hêtre;m.;false;Le hêtre est un bois dur.;Buche;f.;Buche ist ein Hartholz.
1;54;nom;pin;m.;false;Le pin est un arbre résineux.;Kiefer;f.;Die Kiefer ist ein Nadelbaum.
1;55;nom;érable;m.;true;L’érable donne du sirop.;Ahorn;m.;Aus dem Ahorn gewinnt man Sirup.
1;56;nom;épicéa;m.;true;L’épicéa est un arbre commun en Europe.;Fichte;f.;Die Fichte ist ein häufiger Baum in Europa.
1;57;nom;pin parasol;m.;false;Le pin parasol pousse au sud.;Pinie;f.;Die Pinie wächst im Süden.
1;58;nom;bouleau;m.;false;Le bouleau a une écorce blanche.;Birke;f.;Die Birke hat weiße Rinde.
1;59;nom;cerisier;m.;false;Le cerisier fleurit au printemps.;Kirschbaum;m.;Der Kirschbaum blüht im Frühling.
1;60;nom;bois de cerisier;m.;false;Cette armoire est en bois de cerisier.;Kirschholz;n.;Dieser Schrank ist aus Kirschholz.
1;61;nom;mélange;m.;false;C’est un mélange de couleurs.;Mischung;f.;Das ist eine Farbmischung.
1;62;nom;marché aux puces;m.;false;J’ai acheté un vase au marché aux puces.;Flohmarkt;m.;Ich habe eine Vase auf dem Flohmarkt gekauft.
1;63;nom;vaisselle;f.;false;La vaisselle est propre.;Geschirr;n.;Das Geschirr ist sauber.
1;64;nom;marque;f.;false;Quelle est la marque de cette voiture ?;Marke;f.;Welche Marke hat dieses Auto?
1;65;adjectif;bon marché;;;Ces chaussures sont bon marché.;billig;;Diese Schuhe sind billig.
1;66;adjectif;meilleur marché;;;C’est meilleur marché que chez eux.;günstiger;;Das ist günstiger als bei ihnen.
1;67;nom;TVA;f.;false;La TVA en France est de 20 %.;Mehrwertsteuer;f.;Die Mehrwertsteuer in Frankreich beträgt 20 %.
1;68;nom;pancarte;f.;false;Il y avait une pancarte devant la boutique.;Schild;n.;Vor dem Laden hing ein Schild.
1;69;nom;brocante;f.;false;J’ai trouvé une vieille lampe à la brocante.;Flohmarkt;m.;Ich habe eine alte Lampe auf dem Flohmarkt gefunden.
1;70;nom;vide-greniers;f.;false;Le village organise un vide-greniers dimanche.;Dachbodenflohmarkt;m.;Das Dorf organisiert am Sonntag einen Dachbodenflohmarkt.
1;71;expression;dès que;;;Dès que j’arrive, je t’appelle.;sobald;;Sobald ich ankomme, rufe ich dich an.
1;72;expression;son regard s’illumine;;;Son regard s’illumine quand il parle de musique.;sein Blick hellt sich auf;;Sein Blick hellt sich auf, wenn er über Musik spricht.
1;73;phrase;;;;Ses yeux brillent de joie.;;;Seine Augen glänzen vor Freude.
1;74;adjectif;fiévreusement;;;Elle écrit fiévreusement dans son carnet.;fieberhaft;;Sie schreibt fieberhaft in ihr Notizbuch.
1;75;adjectif;lointain;;;C’est un souvenir lointain de mon enfance.;fern, entfernt;;Das ist eine ferne Erinnerung aus meiner Kindheit.
1;76;nom;trouvaille;f.;false;Cette chaise est une belle trouvaille.;Fundstück;n.;Dieser Stuhl ist ein schönes Fundstück.
1;77;expression;faire la route;;;Nous allons faire la route ensemble.;die Strecke zurücklegen;;Wir werden die Strecke gemeinsam fahren.
1;78;expression;avant même que + subj.;;;Ils partent avant même que le soleil ne se lève.;noch bevor + verb;;Sie brechen auf, noch bevor die Sonne aufgeht.
1;79;nom;cabas en toile;m.;false;Elle apporte toujours un cabas en toile au marché.;Stofftasche;f.;Sie bringt immer eine Stofftasche mit zum Markt.
1;80;nom;thermos;m.;false;J’ai pris un thermos de café.;Thermoskanne;f.;Ich habe eine Thermoskanne Kaffee mitgenommen.
1;81;nom;billet;m.;false;Il a payé avec un billet de 20 euros.;Geldschein;m.;Er hat mit einem 20-Euro-Geldschein bezahlt.
1;82;nom;lieu d’achat;m.;false;Le reçu indique le lieu d’achat.;Kaufort;m.;Der Kassenzettel zeigt den Kaufort.
1;83;nom;périphérie;f.;false;Ils habitent à la périphérie de la ville.;Stadtrand;m.;Sie wohnen am Stadtrand.
1;84;nom;phénomène;m.;false;Le marché est devenu un vrai phénomène culturel.;ein Phänomen;n.;Der Markt ist zu einem echten kulturellen Phänomen geworden.
1;85;verbe;se répandre;;;La nouvelle s’est rapidement répandue.;sich verbreiten;;Die Nachricht hat sich schnell verbreitet.
1;86;expression;milliers;;;Des milliers de personnes visitent le marché.;Tausende;;Tausende Menschen besuchen den Markt.
1;87;nom;coin;m.;false;Nous nous retrouvons dans un coin tranquille.;Ecke;f.;Wir treffen uns in einer ruhigen Ecke.
1;88;verbe;chuchoter;;;Les enfants chuchotent dans la bibliothèque.;flüstern;;Die Kinder flüstern in der Bibliothek.
1;89;verbe;ébrécher;;;J’ai une assiette ébréchée.;an einer Kante angeschlagen;;Ich habe einen Teller mit einer abgesprungenen Ecke.
1;90;verbe;évoquer;;;Il évoque souvent ses voyages.;erwähnen, ins Gedächtnis rufen;;Er erwähnt oft seine Reisen.
1;91;nom;âme;f.;true;Cette maison a une âme.;Seele;f.;Dieses Haus hat eine Seele.
1;92;nom;horloge;f.;true;L’horloge sonne midi.;Uhr;f.;Die Uhr schlägt zwölf.
1;93;verbe;patiner;;;La peinture commence à patiner avec le temps.;Patina bekommen;;Die Farbe bekommt mit der Zeit Patina.
1;94;expression;apporter du caractère;;;Ce détail apporte du caractère à la pièce.;Charakter verleihen;;Dieses Detail verleiht dem Raum Charakter.
1;95;verbe;plaisanter;;;On plaisante toujours avec lui.;scherzen;;Mit ihm scherzt man immer.
1;96;expression;avec ferveur;;;Elle négocie avec ferveur sur le marché.;leidenschaftlich;;Sie handelt leidenschaftlich auf dem Markt.
1;97;phrase;;;;Les vendeurs partagent volontiers des anecdotes sur leurs trésors.;;;Die Verkäufer erzählen gerne Anekdoten über ihre Schätze.
1;98;nom;convivialité;f.;false;La convivialité est au cœur de cet événement.;Geselligkeit;f.;Die Geselligkeit steht im Mittelpunkt dieser Veranstaltung.
